Accession,SRA_Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_028752,,2016-01-05T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27395,RefSeq,complete,,,"Sabir,J.S.M., Lam,T.Y., Ahmed,M.M., Li,L., Shen,Y., AboAba,S., Qureshi,M.I., Abu-Zaid,M., Zhang,Y., Khiyami,M.A., Alharbi,N.S., Hajrah,N.H., Sabir,M.J., Mutwakil,M.H.Z., Kabli,S.A., Alsulaimany,F.A.S., Obaid,A.Y., Zhou,B., Smith,D.K., Holmes,E.C., Zhu,H., Guan,Y.",,Saudi Arabia,Camelus,,2015-03,,"Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome"
NC_002645,,2001-01-11T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27317,RefSeq,complete,,,"Thiel,V., Herold,J., Schelle,B., Siddell,S.G.",11369870,,,,,,"Human coronavirus 229E, complete genome"
MT438696,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27297,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Albuquerque, New Mexico",Homo sapiens,oronasopharynx,2016-02-09,,"Human coronavirus 229E isolate HCoV-229E/USA/UNM_0186/2016, complete genome"
MT438697,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27305,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,2017-02-24,,"Human coronavirus 229E isolate HCoV-229E/USA/ACRI_0244/2017, complete genome"
MT438698,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27297,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,2017-02-24,,"Human coronavirus 229E isolate HCoV-229E/USA/ACRI_0256/2017, complete genome"
MT438699,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27060,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,2017-02-27,,"Human coronavirus 229E isolate HCoV-229E/USA/ACRI_0246/2017, complete genome"
MT438700,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27307,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,2017-01-27,,"Human coronavirus 229E isolate HCoV-229E/USA/UAMS_DID_0108/2017, complete genome"
MN086824,,2019-11-23T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,564,GenBank,partial,,,"Hala,S.A., Hula,F.Y., Iman,A.M., Faisal,A.G.",,Iraq,Homo sapiens,,2019-02-24,,"Human coronavirus 229E isolate Arbial 2019 polyprotein gene, partial cds"
MN369046,,2019-09-16T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27075,GenBank,complete,,,"Lin,M.J., Tait,A., Greninger,A.L.",,USA,Homo sapiens,,2018,,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9724/2018, complete genome"
MN306046,,2019-08-25T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27270,GenBank,complete,,,"Lin,M.J., Tait,A., Greninger,A.L.",,USA,Homo sapiens,,2019,,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC0865/2019, complete genome"
MH170145,,2018-10-17T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,245,GenBank,partial,,,"Waruhiu,C., Ommeh,S., Obanda,V., Agwanda,B., Gakuya,F., Ge,X.Y., Yang,X.L., Wu,L.J., Zohaib,A., Hu,B., Shi,Z.L., Waruhiu,C.N., Ommeh,S.C., Obanda,V.O., Ge,X.-Y., Yang,X.-L., Wu,L.-J., Zohai,A., Shi,Z.-L.",28393313,Kenya,Rousettus aegyptiacus,feces,2016-03,,"229E-related bat coronavirus isolate BatCoV5425/KEN/Trans Nzoia RNA dependent RNA polymerase (RdRp) gene, partial cds"
MH170146,,2018-10-17T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,297,GenBank,partial,,,"Waruhiu,C., Ommeh,S., Obanda,V., Agwanda,B., Gakuya,F., Ge,X.Y., Yang,X.L., Wu,L.J., Zohaib,A., Hu,B., Shi,Z.L., Waruhiu,C.N., Ommeh,S.C., Obanda,V.O., Ge,X.-Y., Yang,X.-L., Wu,L.-J., Zohai,A., Shi,Z.-L.",28393313,Kenya,Hipposideros caffer,feces,2016-03,,"229E-related bat coronavirus isolate BatCoV5743/KEN/Kwale RNA dependent RNA polymerase (RdRp) gene, partial cds"
MH170147,,2018-10-17T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,245,GenBank,partial,,,"Waruhiu,C., Ommeh,S., Obanda,V., Agwanda,B., Gakuya,F., Ge,X.Y., Yang,X.L., Wu,L.J., Zohaib,A., Hu,B., Shi,Z.L., Waruhiu,C.N., Ommeh,S.C., Obanda,V.O., Ge,X.-Y., Yang,X.-L., Wu,L.-J., Zohai,A., Shi,Z.-L.",28393313,Kenya,Hipposideros caffer,feces,2016-03,,"229E-related bat coronavirus isolate BatCoV5773/KEN/Kwale RNA dependent RNA polymerase (RdRp) gene, partial cds"
KM055501,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1512A_2009 nucleocapsid protein (N) gene, complete cds"
KM055502,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1518A_2009 nucleocapsid protein (N) gene, complete cds"
KM055503,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1546A_2009 nucleocapsid protein (N) gene, complete cds"
KM055504,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1658A_2009 nucleocapsid protein (N) gene, complete cds"
KM055505,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1667A_2009 nucleocapsid protein (N) gene, complete cds"
KM055506,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1761A_2010 nucleocapsid protein (N) gene, complete cds"
KM055507,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1781A_2010 nucleocapsid protein (N) gene, complete cds"
KM055508,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1782A_2010 nucleocapsid protein (N) gene, complete cds"
KM055509,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1827A_2010 nucleocapsid protein (N) gene, complete cds"
KM055510,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1829A_2010 nucleocapsid protein (N) gene, complete cds"
