Accession,SRA_Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT438696,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27297,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Albuquerque, New Mexico",Homo sapiens,oronasopharynx,2016-02-09,,"Human coronavirus 229E isolate HCoV-229E/USA/UNM_0186/2016, complete genome"
MT438697,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27305,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,2017-02-24,,"Human coronavirus 229E isolate HCoV-229E/USA/ACRI_0244/2017, complete genome"
MT438698,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27297,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,2017-02-24,,"Human coronavirus 229E isolate HCoV-229E/USA/ACRI_0256/2017, complete genome"
MT438699,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27060,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,2017-02-27,,"Human coronavirus 229E isolate HCoV-229E/USA/ACRI_0246/2017, complete genome"
MT438700,,2020-05-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27307,GenBank,complete,,,"Dinwiddie,D.L., Dehority,W.N., Schwalm,K.C., Kothari,A., Storm,E., Thompson,T., Putt,C., Pomeroy,K., Young,S.A., Domman,D., Kennedy,J.L.",,"USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,2017-01-27,,"Human coronavirus 229E isolate HCoV-229E/USA/UAMS_DID_0108/2017, complete genome"
MN086824,,2019-11-23T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,564,GenBank,partial,,,"Hala,S.A., Hula,F.Y., Iman,A.M., Faisal,A.G.",,Iraq,Homo sapiens,,2019-02-24,,"Human coronavirus 229E isolate Arbial 2019 polyprotein gene, partial cds"
MN369046,,2019-09-16T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27075,GenBank,complete,,,"Lin,M.J., Tait,A., Greninger,A.L.",,USA,Homo sapiens,,2018,,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9724/2018, complete genome"
MN306046,,2019-08-25T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,27270,GenBank,complete,,,"Lin,M.J., Tait,A., Greninger,A.L.",,USA,Homo sapiens,,2019,,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC0865/2019, complete genome"
KM055501,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1512A_2009 nucleocapsid protein (N) gene, complete cds"
KM055502,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1518A_2009 nucleocapsid protein (N) gene, complete cds"
KM055503,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1546A_2009 nucleocapsid protein (N) gene, complete cds"
KM055504,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1658A_2009 nucleocapsid protein (N) gene, complete cds"
KM055505,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1667A_2009 nucleocapsid protein (N) gene, complete cds"
KM055506,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1761A_2010 nucleocapsid protein (N) gene, complete cds"
KM055507,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1781A_2010 nucleocapsid protein (N) gene, complete cds"
KM055508,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1782A_2010 nucleocapsid protein (N) gene, complete cds"
KM055509,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1827A_2010 nucleocapsid protein (N) gene, complete cds"
KM055510,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1829A_2010 nucleocapsid protein (N) gene, complete cds"
KM055511,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1990A_2010 nucleocapsid protein (N) gene, complete cds"
KM055512,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2011,,"Human coronavirus 229E isolate 2764A_2011 nucleocapsid protein (N) gene, complete cds"
KM055513,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2011,,"Human coronavirus 229E isolate 2961A_2011 nucleocapsid protein (N) gene, complete cds"
KM055514,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2007,,"Human coronavirus 229E isolate 359A_2007 nucleocapsid protein (N) gene, complete cds"
KM055515,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2007,,"Human coronavirus 229E isolate 432A_2007 nucleocapsid protein (N) gene, complete cds"
KM055516,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2008,,"Human coronavirus 229E isolate 494A_2008 nucleocapsid protein (N) gene, complete cds"
KM055517,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2008,,"Human coronavirus 229E isolate 507A_2008 nucleocapsid protein (N) gene, complete cds"
KM055518,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2008,,"Human coronavirus 229E isolate 693A_2008 nucleocapsid protein (N) gene, complete cds"
KM055519,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2005,,"Human coronavirus 229E isolate 748_2005 nucleocapsid protein (N) gene, complete cds"
KM055520,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 8339_2009 nucleocapsid protein (N) gene, complete cds"
KM055521,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 8348_2009 nucleocapsid protein (N) gene, complete cds"
KM055522,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 8425_2009 nucleocapsid protein (N) gene, complete cds"
KM055523,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2005,,"Human coronavirus 229E isolate 857_2005 nucleocapsid protein (N) gene, complete cds"
KM055524,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2011,,"Human coronavirus 229E isolate 11949_2011 nucleocapsid protein (N) gene, complete cds"
KM055525,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1424A_2009 nucleoprotein (N) gene, complete cds"
KM055526,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1482A_2009 nucleoprotein (N) gene, complete cds"
KM055527,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1649A_2009 nucleoprotein (N) gene, complete cds"
KM055528,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2011,,"Human coronavirus 229E isolate 2861A_2011 nucleoprotein (N) gene, complete cds"
KM055529,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2011,,"Human coronavirus 229E isolate 2981A_2011 nucleoprotein (N) gene, complete cds"
KM055530,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,1170,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 8373_2009 nucleoprotein (N) gene, complete cds"
KM055531,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2011,,"Human coronavirus 229E isolate 11949_2011 spike glycoprotein (S) gene, complete cds"
KM055532,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1512A_2009 spike glycoprotein (S) gene, complete cds"
KM055533,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1518A_2009 spike glycoprotein (S) gene, complete cds"
KM055534,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1546A_2009 spike glycoprotein (S) gene, complete cds"
KM055535,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1649A_2009 spike glycoprotein (S) gene, complete cds"
KM055536,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1658A_2009 spike glycoprotein (S) gene, complete cds"
KM055537,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1667A_2009 spike glycoprotein (S) gene, complete cds"
KM055538,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2010,,"Human coronavirus 229E isolate 1761A_2010 spike glycoprotein (S) gene, complete cds"
KM055539,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2010,,"Human coronavirus 229E isolate 1781A_2010 spike glycoprotein (S) gene, complete cds"
KM055540,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2010,,"Human coronavirus 229E isolate 1782A_2010 spike glycoprotein (S) gene, complete cds"
KM055541,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2010,,"Human coronavirus 229E isolate 1827A_2010 spike glycoprotein (S) gene, complete cds"
KM055542,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2010,,"Human coronavirus 229E isolate 1829A_2010 spike glycoprotein (S) gene, complete cds"
KM055543,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2010,,"Human coronavirus 229E isolate 1990A_2010 spike glycoprotein (S) gene, complete cds"
KM055544,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2011,,"Human coronavirus 229E isolate 2764A_2011 spike glycoprotein (S) gene, complete cds"
